"credits","delivery","duration","id","institute_id","mnqf__id","mnqf__level","mnqf__title","modality","name"
"null","null","null","50","21","1","1","CERTIFICATE I","null","CERTIFICATE I IN INFORMATION TECHNOLOGY"
"null","null","null","51","21","1","1","CERTIFICATE I","null","CERTIFICATE IN RED HAT LINUX"
"null","null","3 WEEKS","52","21","1","1","CERTIFICATE I","null","CERTIFICATE I IN INFORMATION TECHNOLOGY"
"null","null","15 WEEKS","237","21","2","2","CERTIFICATE II","null","CERTIFICATE II IN INFORMATION TECHNOLOGY"
"null","null","null","464","21","3","3","CERTIFICATE III","null","CERTIFICATE III IN INFORMATION AND COMMUNICATION TECHNOLOGY"
"null","null","15 WEEKS","465","21","3","3","CERTIFICATE III","null","CERTIFICATE III IN SHARIAH AND ISLAMIC STUDIES"
"null","null","1 TRIMESTER","466","21","3","3","CERTIFICATE III","null","CERTIFICATE III IN ACCOUNTING"
"null","null","1 TRIMESTER","467","21","3","3","CERTIFICATE III","null","CERTIFICATE III IN BUSINESS STUDIES"
"null","null","1 TRIMESTER","468","21","3","3","CERTIFICATE III","null","CERTIFICATE III IN HUMAN RESOURCE MANAGEMENT"
"null","null","1 TRIMESTER","469","21","3","3","CERTIFICATE III","null","CERTIFICATE III IN INFORMATION TECHNOLOGY"
"null","null","null","470","21","3","3","CERTIFICATE III","null","CERTIFICATE III IN HOSPITALITY OPERATIONS"
"null","null","null","471","21","3","3","CERTIFICATE III","null","CERTIFICATE IN CRIMINAL INVESTIGATION"
"null","null","3 MONTHS","472","21","3","3","CERTIFICATE III","null","CERTIFICATE III IN MARINE SCIENCE"
"null","null","15 WEEKS","473","21","3","3","CERTIFICATE III","null","CERTIFICATE III IN LIBRARY SERVICES"
"null","null","3 MONTHS","474","21","3","3","CERTIFICATE III","null","CERTIFICATE III IN AQUATIC RECREATION "
"40","Full-Time","15 WEEKS","643","21","3","3","CERTIFICATE III","FACE TO FACE","CERTIFICATE 3 IN HOSPITALITY"
"40","Full-Time","15 WEEKS","664","21","3","3","CERTIFICATE III","FACE-TO-FACE","CERTIFICATE III IN CUSTOMER CARE"
"null","null","null","784","21","4","4","CERTIFICATE IV","null","ADVANCED CERTIFICATE IN BUSINESS ADMINISTRATION"
"null","null","null","785","21","4","4","CERTIFICATE IV","null","ADVANCED CERTIFICATE IN INFORMATION TECHNOLOGY"
"null","null","null","786","21","4","4","CERTIFICATE IV","null","INTERNATIONAL CERTIFICATE IN COMPUTER STUDIES (ICCS)"
"null","null","1 YEAR","787","21","4","4","CERTIFICATE IV","null","CERTIFICATE IV IN INFORMATION TECHNOLOGY"
"null","null","1 YEAR","788","21","4","4","CERTIFICATE IV","null","CERTIFICATE IV IN HUMAN RESOURCE MANAGEMENT (programme name changed from ""Advanced Certificate in Human Resource Management"")"
"null","null","1 YEAR","789","21","4","4","CERTIFICATE IV","null","CERTIFICATE IV IN BUSINESS ADMINISTRATION"
"null","null","null","790","21","4","4","CERTIFICATE IV","null","FOUNDATION IN TEACHING"
"null","null","null","791","21","4","4","CERTIFICATE IV","null","CERTIFICATE IV IN MULTIMEDIA TECHNOLOGY"
"null","null","1 YEAR","792","21","4","4","CERTIFICATE IV","null","CERTIFICATE IV IN ACCOUNTING (Name changed from Advanced Certificate in Accounting)"
"null","null","null","793","21","4","4","CERTIFICATE IV","null","CERTIFICATE IV IN SHARIAH"
"null","null","1 YEAR","794","21","4","4","CERTIFICATE IV","null","CERTIFICATE IV IN MARINE STUDIES"
"null","null","1 YEAR","795","21","4","4","CERTIFICATE IV","null","FOUNDATION IN LAW"
"null","null","1 YEAR","796","21","4","4","CERTIFICATE IV","FACE TO FACE","CIMA CERTIFICATE IN BUSINESS ACCOUNTING"
"120","Full-Time","1 YEAR","868","21","4","4","CERTIFICATE IV","FACE-TO-FACE","CERTIFICATE 4 IN TOURISM AND HOTEL OPERATIONS"
"null","null","null","1040","21","5","5","DIPLOMA","null","DIPLOMA IN BUSINESS ADMINISTRATION"
"null","null","null","1041","21","5","5","DIPLOMA","null","DIPLOMA IN INFORMATION TECHNOLOGY"
"null","null","null","1042","21","5","5","DIPLOMA","null","INTERNATIONAL DIPLOMA IN BUSINESS"
"null","null","null","1043","21","5","5","DIPLOMA","null","INTERNATIONAL DIPLOMA IN COMPUTER STUDIES (IDCS)"
"null","null","1 YEAR","1044","21","5","5","DIPLOMA","null","DIPLOMA IN SHARIA AND ISLAMIC STUDIES WITH TEACHING"
"null","null","null","1045","21","5","5","DIPLOMA","null","DIPLOMA IN SHARIA"
"null","null","1 YEAR","1046","21","5","5","DIPLOMA","null","DIPLOMA IN HUMAN RESOURCE MANAGEMENT"
"null","null","1 YEAR","1047","21","5","5","DIPLOMA","null","DIPLOMA IN BUSINESS ADMINISTRATION"
"null","null","1 YEAR","1048","21","5","5","DIPLOMA","null","DIPLOMA IN PRIMARY TEACHING"
"null","null","1 YEAR","1049","21","5","5","DIPLOMA","null","DIPLOMA IN EARLY CHILDHOOD EDUCATION"
"null","null","1 YEAR","1050","21","5","5","DIPLOMA","null","DIPLOMA IN MULTIMEDIA TECHNOLOGY - AWARDED BY OPEN UNIVERSITY MALAYSIA"
"null","null","1 YEAR","1051","21","5","5","DIPLOMA","null","DIPLOMA IN ACCOUNTING"
"null","null","1 YEAR","1052","21","5","5","DIPLOMA","null","EDEXCEL BTEC LEVEL 5 HNC DIPLOMA IN BUSINESS"
"null","null","1 YEAR","1053","21","5","5","DIPLOMA","null","DIPLOMA IN THE COMMON LAW"
"null","null","1 YEAR","1054","21","5","5","DIPLOMA","null","DIPLOMA IN MULTIMEDIA TECHNOLOGY"
"null","null","1 YEAR","1055","21","5","5","DIPLOMA","null","ACCA KNOWLEDGE LEVEL - AWARDED BY ACCA"
"null","null","1 YEAR","1056","21","5","5","DIPLOMA","null","DIPLOMA IN TEACHING DHIVEHI LANGUAGE"
"null","null","1 YEAR","1057","21","5","5","DIPLOMA","null","DIPLOMA IN TEACHING ISLAMIC STUDIES "
"120","null","1 YEAR","1058","21","5","5","DIPLOMA","FACE TO FACE","DIPLOMA IN ACCOUNTING AND FINANCE"
"120","null","1 YEAR","1059","21","5","5","DIPLOMA","FACE TO FACE","DIPLOMA IN BUSINESS MANAGEMENT"
"120","Full-Time","1 YEAR","1060","21","5","5","DIPLOMA","FACE-TO-FACE","DIPLOMA IN COMPUTER SCIENCE"
"120","null","1 YEAR","1130","21","5","5","DIPLOMA","FACE TO FACE","DIPLOMA IN SHARIAH AND LAW"
"120","Full-Time","1 YEAR","1131","21","5","5","DIPLOMA","FACE-TO-FACE","DIPLOMA IN LAW"
"120","Full-Time","1 YEAR","1136","21","5","5","DIPLOMA","FACE-TO-FACE","DIPLOMA IN HUMAN RESOURCE MANAGEMENT AND DEVELOPMENT"
"120","Full-Time","1 YEAR","1137","21","5","5","DIPLOMA","FACE-TO-FACE","DIPLOMA IN BUSINESS MANAGEMENT AND ECONOMICS"
"120","Full-Time","1 YEAR","1138","21","5","5","DIPLOMA","FACE-TO-FACE","DIPLOMA IN COMPUTING"
"120","Full-Time","1 YEAR","1139","21","5","5","DIPLOMA","FACE-TO-FACE","Diploma in Early Childhood Education"
"120","Full-Time","1 YEAR","1155","21","5","5","DIPLOMA","FACE TO FACE","DIPLOMA OF TEACHING (EARLY CHILDHOOD)"
"120","Full-Time","1 YEAR","1156","21","5","5","DIPLOMA","FACE TO FACE","DIPLOMA OF TEACHING (PRIMARY)"
"120","Full-Time","1 YEAR","1168","21","5","5","DIPLOMA","FACE TO FACE/VIRTUAL","DIPLOMA IN TOURISM AND HOTEL MANAGEMENT"
"null","null","null","1224","21","6","6","ADVANCED DIPLOMA","null","INTERNATIONAL ADVANCE DIPLOMA IN BUSINESS"
"null","null","1.5 YEARS","1225","21","6","6","ADVANCED DIPLOMA","null","EDEXCEL BTEC LEVEL 5 HND DIPLOMA IN BUSINESS"
"240","null","2 YEARS","1237","21","6","6","ADVANCED DIPLOMA","FACE TO FACE","ADVANCED DIPLOMA IN DHIVEHI LANGUAGE AND HISTORY"
