institute_id,logo,institute_name,credits,delivery,duration,id,modality,name,mnqf.id,mnqf.level,mnqf.title
87,NA,ACADEMY FOR BUSINESS AND MANAGEMENT,NA,NA,NA,193,NA,CERTIFICATE I IN COMPUTER APPLICATION,1,1,CERTIFICATE I
87,NA,ACADEMY FOR BUSINESS AND MANAGEMENT,NA,NA,4 WEEKS,194,NA,CERTIFICATE IN GRAPHIC DESIGNING,1,1,CERTIFICATE I
87,NA,ACADEMY FOR BUSINESS AND MANAGEMENT,NA,NA,6 WEEKS,195,NA,CERTIFICATE IN INTERNET AND WEB DESIGNING,1,1,CERTIFICATE I
87,NA,ACADEMY FOR BUSINESS AND MANAGEMENT,NA,NA,NA,334,NA,CERTIFICATE IN OFFICE ADMINISTRATION,2,2,CERTIFICATE II
87,NA,ACADEMY FOR BUSINESS AND MANAGEMENT,NA,NA,24 WEEKS,626,NA,CERTIFICATE III IN OFFICE ADMINISTRATION,3,3,CERTIFICATE III
87,NA,ACADEMY FOR BUSINESS AND MANAGEMENT,NA,NA,NA,627,NA,CERTIFICATE III IN SALES AND MARKETING,3,3,CERTIFICATE III
87,NA,ACADEMY FOR BUSINESS AND MANAGEMENT,NA,NA,NA,628,NA,CERTIFICATE III IN TRAVEL AND TOURISM,3,3,CERTIFICATE III
66,/static/uploads/ATR_2018-06-30T22-23-53.png,ACADEMY FOR TRAINING AND RESEARCH,NA,NA,3 MONTHS,176,NA,LEVEL 1 IN MS OFFICE APPLICATION,1,1,CERTIFICATE I
66,/static/uploads/ATR_2018-06-30T22-23-53.png,ACADEMY FOR TRAINING AND RESEARCH,NA,NA,3 MONTHS,321,NA,LEVEL 2 IN MS OFFICE APPLICATION,2,2,CERTIFICATE II
66,/static/uploads/ATR_2018-06-30T22-23-53.png,ACADEMY FOR TRAINING AND RESEARCH,NA,NA,15 WEEKS,322,NA,CERTIFICATE II IN CUSTOMER SERVICE MANAGEMENT,2,2,CERTIFICATE II
66,/static/uploads/ATR_2018-06-30T22-23-53.png,ACADEMY FOR TRAINING AND RESEARCH,NA,NA,18 WEEKS,600,NA,CERTIFICATE III IN BUSINESS STUDIES,3,3,CERTIFICATE III
66,/static/uploads/ATR_2018-06-30T22-23-53.png,ACADEMY FOR TRAINING AND RESEARCH,NA,NA,5 MONTHS,601,NA,CERTIFICATE 3 IN MS-OFFICE APPLICATION,3,3,CERTIFICATE III
66,/static/uploads/ATR_2018-06-30T22-23-53.png,ACADEMY FOR TRAINING AND RESEARCH,40,Full-Time,6 MONTHS,602,FACE-TO-FACE,CERTIFICATE III IN ACCOUNTING AND BUSINESS MANAGEMENT,3,3,CERTIFICATE III
68,NA,ADVANCE ART ACADEMY,NA,NA,18 MONTHS,324,NA,SILK SCREEN PRINTING,2,2,CERTIFICATE II
68,NA,ADVANCE ART ACADEMY,NA,NA,15 WEEKS,325,NA,CERTIFICATE II IN DRAWING AND PAINTING,2,2,CERTIFICATE II
68,NA,ADVANCE ART ACADEMY,NA,NA,15 WEEKS,606,NA,CERTIFICATE III IN DRAWING AND PAINTING,3,3,CERTIFICATE III
65,NA,ALS TRAINING CENTRE,NA,NA,20 WEEKS,175,NA,CERTIFICATE I IN INFORMATION TECHNOLOGY,1,1,CERTIFICATE I
65,NA,ALS TRAINING CENTRE,NA,NA,4 WEEKS,320,NA,CERTIFICATE II IN INFORMATION TECHNOLOGY,2,2,CERTIFICATE II
65,NA,ALS TRAINING CENTRE,NA,NA,15 WEEKS,599,NA,CERTIFICATE III IN INFORMATION TECHNOLOGY,3,3,CERTIFICATE III
65,NA,ALS TRAINING CENTRE,NA,NA,2 YEARS,1100,NA,DIPLOMA IN INFORMATION TECHNOLOGY,5,5,DIPLOMA
