Name,Type,Ownership,Atoll/Island,Address,Level
3L Driving School,Specialised,Private,K.Male',Ma.Vahfaru/ Badifasgandu Magu,Certificate/ Diploma
Academy for Training and Research,Mobile,Private,K.Male',Ma.Flying weel,Certificate/ Diploma
Adhabee Hiya,Specialised,Private,S.Hithadhoo,Kemee,Certificate
Adhil Centre for Empowerment,Specialised,Private,HDh.Kulhudhuffushi,Dhilbahaaruge,Certificate/ Diploma
Advance Art Academy,Mobile,Private,K.Male',H.Silver Diamond,Certificate
Agee Computer Training Centre,Specialised,Private,K.Guraidhoo,Green Life,Certificate
Alliance Francaise De Male'/Maldives,Mobile,Private,K.Male',National Art Gallery,Introduction of Dhivehi and French Language
Alpha Education Centre/ Ha.Dhihdhoo,Specialised,Private,Ha.Dhihdhoo,Andaapoolge,Certificate
Al's Training Center,Specialised/ Mobile,Private,Ga.Dhaandhoo,Dheyliyaage,Diploma
Atoll livelihood Development Centre,Mobile,Private,K.Male',M.Green Fish,Certificate
Avid College,College,Private,K.Male',G.Ranfehi,Certificate/ Diploma/ Degree/ Post Graduate
Avid Training Centre,Specialised,Private,S.Maradhoofeydhoo,Dheydharuge,Certificate/ Diploma
Avid Training Centre,Specialised,Private,L.Fonadhoo,Earth/ L.Fonadhoo,Certificate/ Diploma
Avid Training Centre,Specialised,Private,GDh.Thinadhoo Campus,Chaandhu,Certificate/ Diploma/ Associate Degree
Avid Training Centre Campus,Specialised,Private,Gn.Fuvahmulah,Foundation Campus/ Gn.Fuvahmulah,Certificate/ Diploma
Avid Training Centre/ K.Male’,Specialised,Private,K.Male',Ma.Ranmuiyyge/ Sayyidhkileygefaanu magu,
C.M.D.A Institute,Specialised,Government,K.Male',Capital Market Development Authority,Certificate/ Diploma
Care Training Center,Specialised/ Mobile,Private,K.Male',Fiyaathoshi Maage,Diploma
National Institute of Education,Specialised/ Mobile,Government,K.Male',National Institute of Education/ Velaanaage,Certificate/ Diploma/ Degree
Gage Training Institute,Mobile,Private,K.Male',M.Petral,Certificate/ Diploma
Centre for Career and Technical Education/ K.Male’,Mobile,Private,K.Male',The Ed Proffessional,Certificate
Centre for Custom and excise Studies/ K.Male’,Specialised,Government,K.Male',Maldives Custom Service,Certificate/ Diploma
Centre for Enrichment and Training,Specialised,Private,S.Meedhoo,Happy Villa/ S.Meedhoo,Certificate
Centre for food safety and Public Health,Specialised,Private,K.Male',M.Dhoonifushi,Certificate
Centre for Information Technology Management,Specialised/ Mobile,Private,K.Male',H.Dhivaru,Certificate/ Diploma
Civeng Training Centre,Specialised,Private,K.Male',G.Vidhuvaruge/ 2nd Floor,Certificate
Civil Service Training Institute,Specialised/ Mobile/ Open Learning,Government,K.Male',Civil Service Commission/ Velaanaage/ 12th Floor,Certificate
Clique College,College,Private,K.Male',M.Uthuruvehi/ 3rd Floor/ keneree magu,Certificate/ Diploma/ Degree
Compass Learning Centre,Specialised,Private,Lh.Hinnavaru,Kaaneushanmaage,Certificate/ Diploma
Comtronics Training Center/ K.Male’,Specialised,Private,K.Male',H.Meerubahuruge aage/ Ameeru ahmed Magu,Certificate
Comtronics Training Centre,Mobile,Private,K.Male',H.Meerubahuruge aage/ Ameeru ahmed Magu,Certificate
Creative Arts and Crafts Training Center,Specialised,Private,K.Male',M.Veleima,Certificate
Cyryx College,College,Private,K.Male',M.Kothanmaage/ Maaveyomagu,Certificate/ Diploma/ Degree/ Masters
CYRYX Computer Training Center,Specialised,Private,S.Hithadhoo,Nooraanee School/ S.Hithadhoo,Certificate
CYRYX Computer Training Centre,Specialised,Private,Gn.Fuvahmulah,Gn. Atoll Education Center,Certificate
CYRYX Computer Training Centre,Specialised,Private,Ha.Ihavandhoo,Aroma,Certificate
CYRYX Computer Training Centre,Specialised,Private,HDh.Kulhudhuhfushi,Giniraahige,Certificate
CYRYX Computer Training Centre,Specialised,Private,K.Male',H.Lhoheege,Certificate/ Diploma
CYRYX Computer Training Centre,Specialised,Private,K.Male',,
CYRYX Computer Training Centre,Specialised,Private,L.Fonadhoo,Afuza,Certificate
CYRYX Computer Training Centre,Specialised,Private,S.Feydhoo,Live,Certificate
CYRYX Computer Training Centre,Specialised,Private,S.Maradhoofeydhoo,Sunny Beam/ S.Maradhoo,Certificate
CYRYX Computer Training Centre,Specialised,Private,N.Holhudhoo,Iramaahiyaa,Certificate
CYRYX Computer Training Lab,Specialised,Private,K.Male',Galolhu Madharusaa,Certificate
CYRYX Mobile Training Centre,Mobile,Private,K.Male',H.Lhoheege,Certificate
Cyza’s Hair and Beauty Training Centre,Specialised,Private,K.Male',Ma.Eveylaage,Certificate
College of Defence and Security Studies,College,Government,K.Girifushi,MNDF,Certificate/ Diploma/ Degree/ Post Graduate
Democracy Island,Specialised,Private,K.Male',Ma.Uthuruvehi,Masters
Dhivehiraajjeyge masverikamuge thamreenudhey markazu,Specialised,Government,Villimale',Dhivehiraajjeyge masverikamuge thamreenudhey markazu,Certificate
Diabetes Society of Maldives Training Institute,Mobile,Private,K.Male',H.Hiyaavehi/ Dhubugasmagu,Certificate
Digital Arts Academy,Specialised,Private,K.Male',Ma.Mary,Certificate/ Advanced Diploma
Digital Education Center,Specialised,Private,K.Male',G.Finikandu,Certificate
Doyen ICT,Specialised,Private,K.Male',G.Handhuvareeasseyri/ Lonuziyaarai Magu,Certificate
Edu Care Mobile Academy Centre/ K.Male’,Mobile,Private,K.Male',G.Bulbulaage,Secondary
Education and Training Consultants,Mobile,Private,Ga.Kolamaafushi,Asrafee Aage,Certificate
Efes Institute of Cake Decorations and Art,Specialised,Private,K.Male',G.Nafa/ 1st Floor,Certificate
Everyone’s Learning Centre,Specialised,Private,K.Male',G.Fathuruvehi,Certificate
Excel Lerning Center,Specialised/ Mobile,Private,Lh.Hinnavaru,Sandhura,Certificate
Facile Computer Training Centre,Specialised,Private,Dh.Maaenboodhu,Shabnamge,Certificate
Focus Education Centre/ K.Male’,Specialised/ Mobile/ Open Lerning Center,Private,K.Male',M. Uniya 3rd Floor,Certificate/ Diploma
Genuine Information Technology Training Center/ G.DH Thinadhoo,Specialised,Private,GDh.Thinadhoo,Ujaalaage,Certificate
Great Training Centre,Mobile,Private,K.Male',H.Dhandialuvige,Certificate
Guidance – The Driving School/ K.Male’,Specialised,Private,K.Male',H.Dheveli Kinaara,Licence
Hanimaadhoo Agriculture Training Centre,Specialised,Government,HDh.Hanimaadhoo,HDh.Hanimaadhoo/ Amneeneemagu,Certificate
Help Driving School/ K.Male’,Specialised,Private,K.Male',M.Water Vally,Licence
HI Fil Stitches/ K.Male',Specialised,Private,K.Male',Ma.Blueseven,Certificate
Hill & I,Mobile,Private,K.Male',M.Nimsa,Certificate/ Diploma
Hope Information Technology Centre,Specialised,Private,GDh.Thinadhoo,Athireege'/ GDh.Thinadhoo,Certificate/ Diploma
IBS Computer Centre/ K.Male’,Specialised,Private,K.Male',G.Vahffushi,Certificate
Immigration Training Unit/ K.Male’,Specialised,Government,K.Male',Department of Immigration,Advanced Certificate
Information and Academic Support Centre,Mobile,Private,S.Feydhoo,S.Feydhoo/ Dhunfinige,Certificate
Infotech Computer Training Centre/ K.Male’,Specialised,Private,K.Male',H.Ochird Magu,Certificate
Infotech Mobile Computer Training Centre/ K.Male’,Mobile,Private,K.Male',M.Minaavaru,Certificate
Institute For Professional Studies,Mobile,Private,K.Male',Ma.Hudhuga,Diploma
Institute of C.Y.S,"Specialised, Open Learning",Private,R.Ungoofaaru,Club Youth Star,Certificate/ Diploma
Institute of Cooperate Directors and Secretaries,Specialised,Government,K.Male',MTCC Tower/ 4th Floor/ Boduthakurufaanu Magu,Certificate
Institute of Library and Information Services,Specialised/ Mobile/ Open Leanrning,Government,K.Male',National Library,Certificate
MI College,College/ Main Campus,Private,K.Male',H.Sakeenaamanzil,Certificate/ Diploma/ Degree
